商品コード,仕様コード,内容
12336,9,幅×高さ×マチ 約45.5×68×24.5cm
12337,0,ポリカーボネイト
12337,11,4.3kg
12337,4,商品説明書<br />ダイヤル(TSA)ロック取扱説明書<br />ディバイダー:1(ファスナー2)<br />ネームタグ1
12337,40,82L
12337,51,この商品はギフトサービスに対応しておりません。
12337,6,チェコまたはカナダ
12337,9,幅×高さ×マチ 約49.5×74.5×27.5cm
12339,0,ポリカーボネイト
12339,11,4.8kg
12339,4,商品説明書<br>ダイヤル(TSA)ロック取扱説明書<br>ディバイダー:1(ファスナー2)<br>ネームタグ1
12339,40,104L
12339,51,この商品はギフトサービスに対応しておりません。
12339,6,チェコまたはカナダ
12339,9,幅×高さ×マチ 約55.5×82×27cm
12351,0,レザー メタル
12351,4,オロビアンコ布袋
12351,6,イタリア
12351,9,縦×横×厚さ 約9.5×6×1cm
12352,0,レザー メタル
12352,4,オロビアンコ布袋
12352,6,イタリア
12352,9,約15×6×4cm
12364,0,型押しレザー
12364,12,コインケース1<br />札入れ1<br />カード入れ4
12364,6,イタリア
12364,9,縦×横 8.5×9.5cm
12366,0,レザー×リモンタ社製ナイロン
12366,33,ファスナー式ポケット1<br />ポケット4
12366,34,ファスナー式ポケット1<br />ポケット1<br />携帯用ポケット1<br />フック1
12366,38,約0.9kg
12366,4,オロビアンコ布袋
12366,6,イタリア
12366,9,幅×高さ×マチ 約42×30.5×9cm
12377,0,アッパー:コットン100%<br>ソール:ゴム100%
12377,6,スペイン
12382,0,コットン100%
12382,5,手洗い ドライクリーニング不可
12382,6,イタリア
12399,0,リネン70%<br />コットン30%
12399,5,手洗い ドライクリーニング
12399,6,イタリア
12414,0,シルク100%
12414,5,ドライクリーニング
12414,6,日本
12414,9,大剣:8.5cm<br />小剣:4cm<br />長さ:143cm
12459,0,表：牛革　内側：豚革
12459,11,約0.3kg
12459,12,ペン挿し1
12459,4,シセイ布袋
12459,6,イタリア
12459,9,幅×高さ×マチ 約27×21×2.5cm
12460,0,表：牛革　内側：豚革
12460,11,約0.3kg
12460,12,ペン挿し1
12460,4,シセイ布袋
12460,6,イタリア
12460,9,幅×高さ×マチ 約30.5×16.5×2.5cm
12469,0,コットン100%
12469,5,手洗い ドライクリーニング
12469,6,ルーマニア
12473,0,コットン82%<br />リネン18%
12473,5,手洗い ドライクリーニング
12473,6,ルーマニア
12503,0,本体:コットン100%<br />ゴム:ナイロン72% ポリエステル19% ポリウレタン9%
12503,5,洗濯機弱洗い ドライクリーニング不可
12503,6,フィリピン
12520,0,コットン100%
12520,1,ワイドスプレッドカラー
12520,2,シングルカフ
12520,5,手洗い ドライクリーニング
12520,6,イタリア
12521,0,コットン100%
12521,1,ボタンダウン
12521,2,シングルカフ
12521,5,手洗い ドライクリーニング
12521,6,イタリア
12523,0,コットン100%
12523,5,手洗い ドライクリーニング不可
12523,6,ルーマニアまたはイタリア
12527,0,コットン100%
12527,5,洗濯機弱洗い ドライクリーニング
12527,6,フランス
12555,0,コットンキャンバス<br />ブライドルレザー
12555,11,0.8kg
12555,12,外側:ポケット2<br />内側:ボタン式ポケット2
12555,4,ホワイトハウスコックス布袋
12555,6,英国
12555,9,幅×高さ×マチ:約36×37×17.5cm
12576,0,牛革(シューレザー)
12576,11,約0.7kg
12576,12,内側:ファスナー式ポケット1 ポケット1
12576,4,タスティング布袋
12576,6,英国
12576,9,幅×高さ×マチ 約45×31×10cm
12577,0,リップストップナイロン
12577,11,約0.2kg
12577,6,米国
12577,9,幅×高さ×マチ 約35×25.5×3cm
12578,0,リップストップナイロン
12578,11,約0.2kg
12578,6,米国
12578,9,幅×高さ×マチ 約39×27.5×3cm
12609,0,ウール100%
12609,5,ドライクリーニング
12609,6,スコットランド
12609,9,全長:204cm(フリンジを含む)<br />幅:48cm
12615,0,カシミア100%
12615,5,ドライクリーニング
12615,6,スコットランド
12615,9,全長:204cm(フリンジを含む)<br />幅:72cm
12618,0,牛革 シボレザー Lagun
12618,11,約1.2kg
12618,12,ファスナー式ポケット1
12618,4,シャンボール布袋
12618,48,CH.510
12618,6,フランス
12618,9,幅×高さ×マチ:約39×32×15cm
12621,0,牛革
12621,43,3×0.5cm
12621,45,縦×横:3.8×4cm
12621,6,イタリア
12624,0,表地:コットン100%<br />裏地:コットン100%<br />ドリップストリップ部分:ナイロン100%<br />リブ:アクリル86% ポリウレタン14%<br />コーデュロイ部分:コットン100%
12624,33,ポケット2<br />ボタン式ポケット2
12624,34,マジックテープ式ポケット1
12624,4,barbourロゴピンバッジ
12624,5,洗濯不可
12624,6,英国
12633,0,表：牛革　ライニング：豚革
12633,11,約1.2kg
12633,12,ポケット2<br />ファスナー式ポケット1
12633,4,シセイ布袋
12633,6,イタリア
12633,9,幅×高さ×マチ:約44×32×19cm
12635,0,牛革
12635,43,2.8×0.3cm
12635,44,5
12635,45,縦×横:3.5×5cm
12635,46,2.5cm
12635,6,イタリア
12636,0,表地:ウール80% ナイロン20%<br>裏地:ポリエステル100%
12636,12,ポケット2
12636,5,ドライクリーニング
12636,6,米国
12640,0,ブライドルレザー
12640,6,英国
12640,9,縦×横 約7.8cm×8.3cm(閉じた状態)
12644,0,ハンドル:ダークウッド<br>かさ生地の組成:ポリエステル100%
12644,25,メタル
12644,26,1年間
12644,4,製品保証書<br>ギフト用リボン付カバー
12644,6,英国
12644,9,全長:93cm<br>直径:101cm<br>持ち手:18cm
12661,0,レザーバーム:ホホバオイル他<br />レザーフード:ミツバチのワックス他<br />ブラシ:ブラシ上部 ブライドルレザー ブラシ 馬の髪の毛
12661,6,英国
12661,9,ブラシ:縦×横×高さ 約4cm×15cm×4cm
12674,0,アッパー:スウェードレザー<br>ソール:EVA
12674,15,セメンテッド製法
12674,6,イタリア
12699,0,牛革(シューレザー)
12699,11,約0.8kg
12699,12,外側:マグネット式ポケット1<br />内側:ファスナー式ポケット1 ポケット1
12699,4,タスティング布袋
12699,6,英国
12699,9,幅×高さ×マチ 約40×28×12cm
12700,0,牛革(シューレザー)
12700,11,約1.3kg
12700,12,外側:マグネット式ポケット2<br />内側:ファスナー式ポケット1 ポケット2 ペン挿し3
12700,4,タスティング布袋
12700,6,英国
12700,9,幅×高さ×マチ 約38×30×10cm
12701,0,牛革(シューレザー)
12701,11,約2.2kg
12701,33,マグネット式ボタン2
12701,34,荷室1:ファスナー式ポケット1<br />荷室2:スナップボタン付きカバー1 ポケット1
12701,4,タスティング布袋
12701,6,英国
12701,9,幅×高さ×マチ 約43×30×14cm
12756,0,バリスティックナイロン
12756,11,約1.4kg
12756,33,ファスナー式ポケット4<br />ボタン式ポケット2<br />ペン挿し2<br />ポケット1<br />着脱式キーホルダー1
12756,34,メッシュポケット3<br />ポケット2<br />仕切り1
12756,6,米国
12756,9,幅×高さ×マチ 約46×31×12cm
12757,0,バリスティックナイロン
12757,11,約1.2kg
12757,33,ファスナー式ポケット3<br />ポケット2<br />ペン挿し1<br />着脱式キーホルダー1<br />バックル式荷室1
12757,34,ファスナー式ポケット1
12757,6,米国
12757,9,幅×高さ×マチ 約35×48×20cm
12758,0,バリスティックナイロン
12758,11,約1.2kg
12758,33,ファスナー式ポケット7<br />ポケット6<br />着脱式キーホルダー1
12758,34,ポケット4
12758,6,米国
12758,9,幅×高さ×マチ 約50×29×15cm
12759,0,リップストップナイロン
12759,11,約0.1kg
12759,6,米国
12759,9,幅×高さ×マチ 約21×25.5×2cm
12762,0,リップストップナイロン
12762,6,米国
12762,9,幅×高さ×マチ 約20×11×7cm
12763,0,リップストップナイロン
12763,6,米国
12763,9,幅×高さ×マチ 約20×11×12cm
12790,0,レザー リモンタ社製ナイロン
12790,12,ファスナー式小銭入れ1<br />キーフック小5 キーフック大1
12790,4,オロビアンコ布袋
12790,6,イタリア
12790,9,幅×高さ 約13×6cm
12807,0,表地:アクリル85% ポリエステル15%<br />裏地:ポリエステル100%
12807,5,水洗い不可 ドライクリーニング
12807,6,インドネシア
12823,0,オニキス<br />銅
12823,4,サンバティ布袋
12823,6,タイ
12823,9,メーカー表記：02<br />内寸：～18.5cm
12827,0,オニキス<br />真鍮
12827,4,サンバティ布袋
12827,48,THB-3048
12827,6,タイ
12827,9,メーカー表記：02<br />内寸：～18.5cm
12840,0,牛革 シボレザー Lagun
12840,11,約1.5kg
12840,12,ファスナー式ポケット1
12840,4,シャンボール布袋
12840,48,CH.825
12840,6,フランス
12840,9,幅×高さ×マチ:約40×35×16cm
12842,0,コットン100%
12842,5,洗濯機弱洗い ドライクリーニング
12842,6,フランス
12852,0,コーデュラナイロン
12852,11,約0.6kg
12852,33,ファスナー式ポケット3<br />ポケット2<br />着脱式キーホルダー1
12852,34,ポケット1
12852,6,米国
12852,9,幅×高さ×マチ:33×28×15cm
12854,0,コーデュラナイロン
12854,33,ファスナー式ポケット1
12854,34,ポケット2
12854,6,米国
12854,9,幅×高さ×マチ:24×13×6cm
12855,0,コーデュラナイロン
12855,11,約0.5kg
12855,33,ポケット1
12855,34,ファスナー式ポケット1<br />ポケット2<br />着脱式キーホルダー1
12855,6,米国
12855,9,幅×高さ×マチ:47×27×22cm
12858,0,リップストップナイロン
12858,11,約0.5kg
12858,33,ファスナー式ポケット1<br />ボタン式ポケット1<br />着脱式キーホルダー1
12858,34,ファスナー式ポケット1<br />ポケット1
12858,6,米国
12858,9,幅×高さ×マチ:43×33×16cm
12882,0,ブライドルレザー
12882,12,ポケット1<br>カード入れ2
12882,6,英国
12882,9,縦×横:約10×7.5cm
12884,0,アッパー:レザー<br>ソール:ラバー
12884,6,イタリア
12885,0,アッパー:レザー<br>ソール:ラバー
12885,6,イタリア
12896,0,バリスティックナイロン
12896,11,約1.5kg
12896,12,インナーケース:内側PC用ポケット1<br />外側ポケット1<br />着脱式仕切りパッド2<br />着脱式クッションパッド1<br />本体外側:ファスナー式ポケット3<br />ポケット2<br />本体内側:ファスナー式ポケット2<br />ポケット3<br />着脱式キーホルダー1
12896,6,米国
12896,9,幅×高さ×マチ:42×33×14cm
12897,0,バリスティックナイロン
12897,11,約0.7kg
12897,12,"インナーケース:着脱式仕切りパッド1<br />着脱式クッションパッド1
<br />本体外側:ファスナー式ポケット2<br />ポケット2<br />本体内側:ファスナー式ポケット2<br />ポケット3<br />着脱式キーホルダー1"
12897,6,米国
12897,9,幅×高さ×マチ:21×26×14cm
12920,0,バリスティックナイロン
12920,6,米国
12920,9,幅×高さ×マチ:約23.5×22×7cm
12935,0,スターリングシルバー<br />ブラックスピネル<br />ロー引き紐
12935,9,フリーサイズ<br />長さは調節可能です。
12936,0,スターリングシルバー<br />ブラックスピネル<br />ロー引き紐
12936,9,フリーサイズ<br />長さは調節可能です。
12940,0,コットン100%
12940,5,洗濯機弱洗い ドライクリーニング不可
12940,6,中国
12947,0,レザー リモンタ社製ナイロン
12947,11,約0.5kg
12947,33,前面:ファスナー式ポケット2 ポケット3<br />背面:ポケット1
12947,34,ポケット2
12947,4,オロビアンコ布袋
12947,6,イタリア
12947,9,幅×高さ×マチ:14×28×6cm
12948,0,バリスティックナイロン
12948,11,約2kg
12948,33,ファスナー式ポケット6<br />着脱式キーホルダー1
12948,34,メッシュポケット2<br />仕切り2<br />釣竿固定用バックル式ベルト2
12948,6,米国
12948,9,幅×高さ×マチ:126×25×12cm
12953,0,バリスティックナイロン
12953,11,約0.2kg
12953,33,ファスナー式ポケット1<br />ポケット1
12953,34,ポケット1<br />着脱式キーホルダー1
12953,6,米国
12953,9,幅×高さ×マチ:16×20×8cm
12954,0,バリスティックナイロン
12954,11,約0.4kg
12954,33,ファスナー式ポケット1<br />ポケット1<br />リング1<br />着脱式キーホルダー1
12954,34,ファスナー式ポケット1<br />ポケット2<br />ペン挿し1
12954,6,米国
12954,9,幅×高さ×マチ:22×24×8cm
12981,0,ナイロン100%
12981,11,1.3kg
12981,12,上部:ファスナー式ポケット1<br />前面:ファスナー式ポケット1 メッシュポケット1<br />背面:ファスナー式ポケット2 ハイドレーション用スリット2<br />側面:メッシュポケット2<br />底面:ファスナー式レインカバー収納ポケット1 テント&シュラフ装備用着脱式ストラップ2<br />ウェストベルト:ファスナー式ポケット2(その中にポケット2)<br />内側:大型ポケット1 ファスナー式ポケット1 フック2<br />ホイッスル1
12981,6,中国
12981,9,幅×高さ×マチ:30×60×17cm
12983,0,ナイロン100%
12983,11,1.2kg
12983,12,上部:ファスナー式ポケット1<br />前面:ファスナー式ポケット1 メッシュポケット1<br />背面:ファスナー式ポケット2 ハイドレーション用スリット2<br />側面:メッシュポケット2<br />底面:ファスナー式レインカバー収納ポケット1 テント&シュラフ装備用着脱式ストラップ2<br />ウェストベルト:ファスナー式ポケット2(その中にポケット2)<br />内側:大型ポケット1 ファスナー式ポケット1 フック2<br />ホイッスル1
12983,6,中国
12983,9,幅×高さ×マチ:28×53×16cm
12994,0,ヤクの骨 他
12994,4,ディー・ダミーコ布袋
12994,6,イタリア
12994,9,フリー(ゴム入り)
13015,0,コットン100%
13015,5,手洗い ドライクリーニング
13015,6,ルーマニア
13023,0,本体:ウール70% ナイロン27% ポリエステル3%<br />裏地:ナイロン100%<br />革部分:やぎ革
13023,12,ファスナー式ポケット2<br />ポケット2
13023,5,洗濯不可
13023,6,イタリア
13029,0,本体:ウール100%<br />裏布:ポリエステル100%<br />皮革部分:豚革
13029,5,手洗い ドライクリーニング
13029,6,イタリア
13029,9,全長:25cm<br />幅:11cm
13030,0,本体:ウール100%<br />裏布:ウール60% アンゴラ25% ナイロン15%<br />皮革部分:豚革
13030,5,手洗い ドライクリーニング
13030,6,イタリア
13030,9,全長:24cm<br />幅:10cm
13031,0,本体:ウール80% ナイロン20%<br />裏布:ポリエステル100%<br />皮革部分:豚革
13031,5,手洗い ドライクリーニング
13031,6,イタリア
13031,9,全長:26cm<br />幅:10cm
13037,0,ウール100%(ヤク混)
13037,5,ドライクリーニング
13037,6,イタリア
13048,0,本体:コットン100%<br />ニット部分:ウール80% ナイロン20%
13048,1,ワイドスプレッド
13048,2,シングルカフ
13048,5,ドライクリーニング
13048,6,モルドバ共和国
13049,0,本体:コットン100%<br />ニット部分:ウール80% ナイロン20%
13049,1,ワイドスプレッド
13049,2,シングルカフ
13049,5,ドライクリーニング
13049,6,モルドバ共和国
13059,0,コットン100%
13059,22,踵からの高さ:約50cm
13059,5,手洗い
13059,6,イタリア
13059,9,S<br />対応サイズ:25～27cm
13074,0,ラムズウール75% アンゴラ25%
13074,5,ドライクリーニング
13074,6,スコットランド
13074,9,フリンジの長さ:8cm<br />フリンジを除く本体の長さ:181cm<br />幅:65cm
